hip,ra,dec,mag,ci
,0.0,0.0,-26.7,0.656
3.0,0.000335,38.859279,6.61,-0.019
11.0,0.002488,46.939997,7.34,0.081
14.0,0.003228,-0.36045,7.25,1.2
19.0,0.003554,38.30405,6.53,0.955
25.0,0.0053,-44.290561,6.28,0.763
34.0,0.006638,26.918108,6.43,0.514
39.0,0.007485,-16.697009,7.46,0.475
43.0,0.008593,59.559679,6.18,1.032
48.0,0.009015,-40.690474,7.31,1.164
50.0,0.009533,-53.097713,6.49,0.616
55.0,0.010549,-66.683173,7.4,0.551
58.0,0.011577,62.175898,7.05,0.52
63.0,0.012119,45.253334,6.36,-0.047
73.0,0.014694,66.848011,6.9,1.446
75.0,0.014882,-50.446459,7.42,1.524
88.0,0.017941,-48.809876,5.71,0.911
99.0,0.021069,60.355282,7.04,2.835
102.0,0.021365,-41.487437,7.05,1.55
106.0,0.022013,49.981558,6.22,0.97
107.0,0.022255,-50.337373,5.53,1.615
109.0,0.023106,6.79147,7.23,0.388
115.0,0.024839,-62.92313,7.46,0.16
119.0,0.026012,44.675401,6.82,1.071
121.0,0.026429,28.423691,6.83,1.197
122.0,0.026616,-77.065724,4.78,1.254
123.0,0.026675,72.236615,7.21,1.169
124.0,0.026949,61.222801,5.58,0.407
128.0,0.027597,73.611846,6.5,0.182
133.0,0.02823,-40.148702,6.62,0.545
136.0,0.028579,24.253113,6.6,1.153
137.0,0.028847,42.367144,6.25,-0.042
142.0,0.030251,66.306032,7.33,0.73
145.0,0.030402,-3.027504,5.13,-0.128
150.0,0.032021,-37.229953,7.04,1.06
154.0,0.032672,-6.014072,4.37,1.631
158.0,0.033384,-37.901878,7.09,0.999
159.0,0.03406,-2.766171,6.93,0.292
171.0,0.036139,27.082256,5.8,0.69
179.0,0.037966,-13.407437,6.9,0.534
181.0,0.038253,60.703168,6.77,1.832
183.0,0.038867,-29.720414,5.04,-0.15
186.0,0.040046,8.956824,6.33,0.182
194.0,0.041584,8.485463,5.7,0.315
199.0,0.042334,16.256565,7.24,0.074
207.0,0.043357,66.098966,5.87,1.073
209.0,0.044012,66.100399,7.2,0.085
217.0,0.044959,82.973202,7.29,0.118
223.0,0.046437,2.130155,7.17,0.617
238.0,0.049301,-20.045882,6.25,0.526
253.0,0.052181,-24.145145,6.46,1.176
254.0,0.052317,42.747908,6.73,0.051
258.0,0.053698,17.552268,6.59,1.122
270.0,0.056667,73.174497,7.36,0.146
274.0,0.057143,63.64052,6.24,0.332
276.0,0.057203,20.66553,7.49,0.636
277.0,0.057297,-36.251193,6.96,0.353
283.0,0.058475,12.356821,7.45,0.353
297.0,0.061626,48.436907,6.8,0.06
301.0,0.06233,-17.335988,4.55,-0.047
300.0,0.06234,42.023522,7.45,0.244
302.0,0.064342,66.712183,6.31,1.629
308.0,0.065582,14.378864,7.09,0.303
316.0,0.066736,12.145797,7.26,0.355
323.0,0.069514,49.870181,7.38,1.003
328.0,0.069972,-30.134913,7.09,-0.085
330.0,0.070462,62.287664,5.9,0.274
343.0,0.072165,-16.529036,5.78,1.084
345.0,0.07231,-29.268822,6.38,0.006
355.0,0.075033,-10.509523,4.99,1.619
357.0,0.075148,-72.897321,7.33,0.444
365.0,0.07683,42.09253,6.11,0.159
370.0,0.077295,-51.583329,7.13,1.26
372.0,0.07772,-70.40426,7.46,1.072
374.0,0.0778,34.265124,7.02,1.1
377.0,0.078131,-71.436891,5.59,-0.1
378.0,0.078129,14.965233,7.37,0.422
379.0,0.078304,67.166445,5.68,1.051
394.0,0.081573,34.659797,6.09,0.632
398.0,0.081937,58.532166,6.61,0.025
399.0,0.08222,26.648764,6.25,1.368
404.0,0.082644,45.673793,7.47,0.55
410.0,0.083662,27.674784,6.47,0.946
417.0,0.084395,-0.503035,6.32,1.099
418.0,0.085039,61.31397,5.8,-0.067
